moive,sentence,score
로스트 시티,"광명롯시] 생각보다는 재밌었지만, 할리우드 창고에서 묵혀있던 오래된 영화필름을 세상에 내놓은 느낌이 나는 것도 사실이다. 브래드 피트 배역은 적절해서 식상함을 많이 줄여주었다. 산드라 블록은 스크린에서 보니 반갑고도 씁쓸했다. 오래된 영화 &amp;#39;스피드&amp;#39;가 자꾸 생각난다. 2부 같은 거 나오면 슬플 거 같다",7
마약왕,범죄와의 전쟁+스카페이스=뿅간 부산아저씨.ㅉ,4
더 컨트랙터,줄거리가 다소 싱겁고 10분에 예측 가능한 이야기,5
어부바,한국영화는 망했다. 지난 몇년동안 정치 똥쓰레기만 주구장창 만들더니 정작 예술성과 상업성이 필요한 작품을 만들어야 할때는 제대로 만드는것이 하나도 없다.,1
고스트버스터즈 라이즈,돈주고 영화보다 처음 도망치듯 나온 영화,2
어른들은 몰라요,웬만하면 영화 다 재밌게 보는데 이건 스토리도 연출도 연기도 영상미도 다 이상해요..내가 뭘보고 있나싶고 끝까지 본 나에게 박수쳐 주고싶네요,1
매트릭스: 리저렉션,중년 러브스토리 개노잼,4
닥터 스트레인지: 대혼돈의 멀티버스,기대보단 못하지만 그래도 재밌게 봤습니다.,6
닥터 스트레인지: 대혼돈의 멀티버스,마블의 전성기는 아무래도 끝난거같다. 그리고 이번 영화는 닥터스트레인지인지 완다비전인지 모르겠다,6
버티고,유태오랑 정재광 쌍둥이 아닌가??,6
평평남녀,30대에  잘하지 못하면 금방 중반되고 금방 30대 후반된다.,4
닥터 스트레인지: 대혼돈의 멀티버스,재미있기함... 애들이랑은 절대 보지마세요.,7
닥터 스트레인지: 대혼돈의 멀티버스,중간에 얼굴 석상처럼 갈라지는거 나만 징그러움?ㅠ 이거땜에 다시는 보기싫고 꿈에 나올거같음;; 하,6
앰뷸런스,빵빵 터지는 액션. 4dx가 아닌데도 하도 현란해서 멀미할뻔. ,7
온다,재밌게 봄.산만한 느낌은 있는데어디가서 이런거 못본다.,7
데드캠핑 더라이브,이야 평점알바 디지게많네 말이되냐 7점이?진짜 어지럽다,1
봄날,"연기 좋으면 뭐혀 영화가 개판인디, 한국식 장례식은 진짜 뜯어고쳐야될 문화다",4
닥터 스트레인지: 대혼돈의 멀티버스,별 생각 없이 봐서 그럭저럭 재밌었음,7
나잇 & 데이,아니 흑인년이랑 그리고 로이 이해하지마 씨발,1
닥터 스트레인지: 대혼돈의 멀티버스,마블빠이지만 디즈니나 드라마로 관련시리즈를 보고난후 영화를 봐야만 더 재밌거나 이해가 된다는 점에서  앞으로  마블 세계관의 영화들을 보려면 피로도가 상당할듯  확실히 어벤져스 앤드게임까지는 극장에서 처음봐도 즐길수 잇엇는데 점점 그들만의 고인물 시리즈가 될것 같다!일루미뭔티에서 느껴지는 여성과 흑인 캐릭터각인물간의 서사도 없고 앞으로 우주시리즈물로 확장에만 몰두 이제 더이상 흥미가 느껴지지 않는다기대 안하고 보면 볼만하다,6
앵커,스릴러가 스릴러하지 않다,3
굿 윌 헌팅,인생을 배워간다.,6
앵커,시나리오 작가는 절필하고 다른 일 찾아보는게..,2
스텔라,손호준 허성태 찐팬인데 ...ㅜㅜ 배우들이 아까움 ,4
야차,처음부터 끝까지 노스트라다무스가 된 듯 했다. 영화의 전개를 다 알아맞췄다,4
닥터 스트레인지: 대혼돈의 멀티버스,아니 흑화 닥스가 있으면 좀 멋있는 닥스도 보여줘야지 징그러운 연출만 잔뜩 보여주네 좀비호러 영화 보고 온 기분이다 그리고 완다가 아무리 애들 보고 싶어도 그렇게 사람들 다 쳐 죽이고 히어로들 까지 다 죽였는데 마지막에 눈물 한 번 짜면 용서 되는 거임? 캐릭터 붕괴가 너무 심했다,1
알렉산더,지루할수가 없는 알렉산더 역사 소재인데 리틀리스콧 답지 않은 루즈함이 물 들어서 런닝타임도 쓸데없이 굉장히 길게 느껴졌다,4
더 배트맨,타협을 하지 않았다는 것에 박수를! 연출과 배트맨 캐릭터는 다크나이트를 뛰어넘었다. 구조의 설득력만 다소 아쉬웠던 부분,7
양들의 침묵,역겹고 역겹고 역겨운 영화,1
어부바,"왜 최하 점수가 1점밖에 안 되는 걸까..진짜 연기력도, 연출도, 내용도, 음악도 쌍팔년도에도 이렇게 안 만듬... 보다가 잠시 성냥팔이 소녀의 재림이 생각났었음 ",1
신비한 동물들과 덤블도어의 비밀,단편이었다면 킬링타임용으로 딱이었을 영화. 2편보다는 절치부심해서 나아지긴 했으나 또 밋밋하게 다음편을 위한 디딤돌이 되고야 말았음. 개연성도 좀 떨어졌고.,6
뜨거운 피,미장센은 좋았다. 여러가지 배경적인 부분을 많이 신경 쓴거 같더라. 근데 조폭영화의 태생적 한계가 여실히 드러난다. 감독도 원작을 책으로 봤을 때는 이야~이걸 영화화하면 대부처럼 맛깔나겠다 이랬지만 실제 배우들 쓰니까 왜케 후줄근할까. 원래 건달 양아치들에게 낭만과 의리 이딴거 없고 그들의 한탕주의 셈법만 존재하기 때문이란걸 관객이 너무 잘 알고 있거 따라서 건달 양아치들한테 감정이입하기 힘들다.지금은 시대가 바꼈꺼든. 그리고 몸싸움 영화 시킬라믄 배우들 벌크업 좀 시켜라. 요즘 영화 너무 웰빙주의네. 젓가락 기생오라비들이 양복만 빼입고 목소리 깔고 무게 잡고 돌아다니면 다냐. 실제 건달 양아치같은 맛이 없어. 만나기만 해도 조까트면서 기분 더러운면서 경멸감에 사무치는 그런 느낌이 전혀 안 난다. 그리고 앞으로는 조폭 영화 만들지 마라. 한국 영화판 수준 떨어진다.,1
닥터 스트레인지: 대혼돈의 멀티버스,"...B급 호러영화...보는 내내 헛웃음 났다ㅠㅠ 1점까진 아니고 6점 정도라고 생각하는데 대체 별점이 왜이리 높은지?? MCU팬이라면 3점, 일반인 킬링타임용.",1
야차,ㅅ ㅂ 알 이 출연진으로 영화를 이따구로 만들었냐 결론은 앞뒤없고 빠꾸없이 반일에 일본놈 나쁜놈 영화는 진짜 초딩들도 안볼  유치원용으로 만들어서 제작자 죽일려고 만든 최악의 영화다 진짜 간만에 한국최악의 영화를 봤다 짜증 지데로올라온다 어 우~,1
여곡성,난 어릴때 이미 여곡성을 봤음...그냥 옛날판이 훨씬 나아요... 이건 여주가 볼에 사탕물고 연기하나 겁나 심각한 순간에도 표정변화가 없어...악귀가 태중의 아기를 노릴거라는 무당말에도 아무 감정 표현 없이 밋밋하게 &amp;#39;아기를요-&amp;#39; 이러고 있다. 그리고 나오는 사람들 화장이 다 너무 현대식이라 웃김. 주방 찬모도 아이브로우를 어찌나 멋지게 그렸는지 ㅋ 그리고 전반적으로 다 연기가 과잉임. (여주빼고. 여주는 딱히 연기라고 할만한게...) 그나마 서영희씨 혼자 하드캐리하네... ++감상포인트를 추천해야 글 올릴 수 있는데 진짜 하나같이 주옥(!?)같아서 뭘 선택해야 할지도 모르겠다 아주... ,1
더 배트맨,ㅇㅏ?ㆍ 이게배트맨이냐ㅠ_ㅠ망쳤다!망했어!!감독연출력믿고2시간넘게봤는데 ㅉㅉ이럴거면접어라!!,2
데드캠핑 더라이브,"그래도 뻔함에서 조금은 벗어난,,",3
신비한 동물들과 덤블도어의 비밀,애들 보는 영화를 굳이 일케 만들 필요가 있었나?,1
데드캠핑 더라이브,그녀는 무섭다,3
어부바,공짜로 봤는데도 진짜 시간 아깝다 이런 영화를 극장개봉하는 용기에 박수를 안보낸다,1
윌러비 가족,에미애비없는 애들이 모여만든 애정결핍사회반감표현애니+ 역겨운PC떡칠된 신개념 구역질쇼.,1
공포의 묘지,약간의 발암 스토리,1
민스미트 작전,재미없다. 역시 메이져영화사 작품이 아니면 구리다. 잘자다왔다,5
이상한 나라의 수학자,피타고라스 어워드 부터 오글 버튼 아직도 오글거리고 소름 끼치네,1
썰,와~ 간만에 쓰레기 보네..,1
닥터 스트레인지: 대혼돈의 멀티버스,전혀 마블스럽지도 않고 닥터스트레인지 스럽지도 않고.. 뭐죠 이영화,4
전설의 주먹,이요원그리고MC,4
우연과 상상,우연이 만들어내는 인간 관계는 상상의 영역에서 현실로의 나침반이 된다.그 결과의 해석은 각자의 몫이다.,7
닥터 스트레인지: 대혼돈의 멀티버스,시간도 잘 가고 재밌는 편이었어요 눈은 화려했는데 스토리 중간중간에 조금 흠있는 거 빼곤 다 만족,7
낙원의 밤,뻔한 이야기. 지치지않나.  창작성을 높여라,4
낙원의 밤,뻔한 이야기. 지치지않나.  창작성을 높여라,4
낙원의 밤,뻔한 이야기. 지치지않나.  창작성을 높여라,4
전설의 주먹,한국영화 삼류시절. 이런수준의 영화는 안나와야된다,1
전설의 주먹,좋은 배우들 데리고 왜 이요원뿌렸냐 진짜 꼴뵈기 싫더라 영화에서 연기도 조깥고,6
와일드 리벤지: 마지막 한 놈까지,영화학과졸업생?작품,3
엑소더스: 신들과 왕들,씨발 람세스 왜 화네 씨발 개같은거 히브리부하 소리왜쳐 가나안 가면 논리 개쩌네 지들이 더 많다고,1
공공의 적 - 살인마,이러지 마...제발,5
배드 가이즈,너무 재밌어서 두번 봤어요 ㅋㅋㅋ 동물들 매력있구요. 빵빵 터지는 포인트 많아요. 어린이랑 보기도 유해하지 않고 괜찮아요 추천추천,7
스위니 토드: 어느 잔혹한 이발사 이야기,다 보고 나니까 그냥 뭐지..?싶음초반부터 내용 다 예상되고... 음그리고 너무 잔인함,6
모비우스,2000년대 초반에나 먹힐만한 올드한 플롯과 전개 때문에 스토리가 어떻게 흘러갈지 너무 뻔함.. 심지어 이전 스파이더맨 작품이나 베놈에서 다 써먹었던 소재;; 이렇게해서 세계관을 어떻게 구축한다는건지,6
민스미트 작전,"전쟁첩보물인데 전투장면 거의 없음, 긴장감 느껴지는 스토리 적음. 그냥 이런 일이 있었다는 재연드라마 같음. 그래서 지루한 감이 많이 있음",7
뜨거운 피,아.. 아쉽다. 시나리오... 연출... 청불로 확실히 갔어야 했는데...,6
데드캠핑 더라이브,스토리가 거칠고 짜임새가 헐겁지만 고군분투하는 여주인공의 연기가 영화를 살린다,6
데드캠핑 더라이브,평점 7.8 이건 아닌거같다. 3점이하가 맞는거 같음,1
니 부모 얼굴이 보고 싶다,일류호텔 주방장들 모아놓고 겨우 짜장면 한그릇 만들어낸 느낌. 냉정한 현실을 꼬집는 시도는 좋으나 중반이후 깔아놓은 내용을 쌓아올리는 과정과 마무리가 너무나 아쉬움. 배우들의 열연만 눈에띄나 그마저도 빛이바랜다.,5
앵커,걍 그랬어요...,5
닥터 스트레인지: 대혼돈의 멀티버스,볼만해요,7
더 배트맨,무겁게 짖누르는 내적 갈등,5
미 마이셀프 앤드 아이린,"이때는 너무 재미있어서 최고의 코미디영화라 생각했는데 20년이 훌쩍 지나고 보니, 그때의 감성이 아니구나.... 그래도 그때의 르네는 너무나도 이쁘다~",7
전설의 주먹,아... 이요원.. ㅋㅋ,6
관능의 법칙,나이들고 보니 조금 웃기네요,7
전설의 주먹,클래맨타인의 아류작. 클래맨타인 따라오려면 멀었음,1
신비한 동물들과 덤블도어의 비밀,신과함께 가지언즈 오브 겔럭시,1
닥터 스트레인지: 대혼돈의 멀티버스,말이 필요없다 대단하다,1
조디악,실화가 아닌 영화로 마무리지었으면 더 좋았을 것 같다..,7
닥터 스트레인지: 대혼돈의 멀티버스,너무 재미없어서  일행과 함께 보다가 나옴..,2
실버턴 포위 작전,넬슨 만델라 운동의 시발점이라는 실화에 5점. 연기가 좀 과하거나 어색하고 특히 테라 여자는 뜬금포 급발진.. 테라 코인 같은 여자.,5
새,이거보고 나 완전히 새됬어,3
요가학원:죽음의쿤달리니,커플누드요가만 볼만하더이다,1
데스트랩,카메라 ㅅㅂ..겁나 멀미남,1
서울괴담,Cg 보니깐 레지던트 이블에 좀비생각남괴물이랄까 ㅋ ,1
강남 1970,왜 종대는 느닷없이 기차를 타고 총을 맞아야 했는가.,2
불도저에 탄 소녀,김혜윤의 연기는 수준급 . . . 스토리는 현실상 너무 괴리가 떨어지는 영화 . . .   독립영화치고는 꽤 잘 만들었다고 볼 수 밖에 . .,7
닥터 스트레인지: 대혼돈의 멀티버스,공포는 좋은시도라고 보는데진짜 왤케 유치한거야SNL인줄 알았네그냥 완다 솔로영화를 내주지아 너무 돈 아깝고 화가나네,4
B컷,ㅠㅠ 진짜 너무합니다. 평점보고 결제 했는데 엄청난 ...끝까지 보기 민망해요,2
뜨거운 피,보고나면 남는것도 없는 모자란 깡패 영화,2
서울괴담,아이  10R 밥 잘 쳐먹고 쓰레기 애들 데리고 뭣하고 자빠졌냐,1
정글 크루즈,기대에 많이 못미치네,6
신비한 동물들과 덤블도어의 비밀,내가 슬슬 나이를 먹어서 재미가 없는건지 원래 이영화가 스토리도 엉성하고 재미도 없는건지...,4
로스트 시티,피식하는 개그 코드는 있고 재미는 음따,5
이웃사촌,이런영화가 대가리 깨지게 만든다,1
닥터 스트레인지: 대혼돈의 멀티버스,갑자기 좀비로 나오는거 좀 이상 마지막 유령변신 닥터스트레인지 분장 어설픔,6
스텔라,쏘나타가 단종된 이유를 잘 보여주는 영화....더이상 재료가 없다 국산영화는,1
앵커,연기말고 볼게없다. 너무 억지스럽고 결말도 별로고 지루하고 재미없다. 천우희는 작품선택하는 눈이 좀 부족한거같다.,3
앰뷸런스,막 엄청재밌지는 않는데 그냥 한번 정도 아무생각없이 볼만함.,6
청춘,이렇게 청춘은 혼돈속에 가버린다.,6
허니,전형적인 일본 하이틴 로코물. 오글거리는장면 다소 많음. 그래도 이런영화는 늘 해피엔딩이어서 맘놓고 흐뭇하게 볼수있다. 또 순수하고 아름다운 청춘은 짧다라는걸 항상 느끼게 해줌. 히라노쇼팬이라 오글거리고 지루해도 참으며 봤음.,4
봄날,굳이 볼필요는 없는 영화,3
앵커,너무 빤하고 평범하다,6
에어로너츠,세상을 바꾸는건 열망을 가진 인간의 도전,7
해변의 에트랑제,내 돈 내 시간 너무 아까웠음. 왜 아무도 게이의 사랑 얘기라고 말해주지 않은건지.. ,2
앵커,스토리가 그냥 노이해 정말 진심으로 노이해,2
페니 핀처,프랑스판 말 많은 미스터빈. ,7
인싸,딴거는 그렇다치고 크레딧에 작은염마 서영은 뭐냐? 크레딧에 오타나는 건 첨보네 ;;,2
니 부모 얼굴이 보고 싶다,감독의 전작보단 볼만하다.,5
우연과 상상,말 한마디로 천냥빛 갚는다,7
닥터 스트레인지: 대혼돈의 멀티버스,장르적 상상력이 넘쳐흐르지만 각본은 미흡하다.,7
앰뷸런스,개연성도 없고 스릴도 없고시간 아까운 영화 0점을 주고 싶다,1
데드캠핑 더라이브,와.. 오바되는 연기 및 이상한 연출 그리고 어설픈 cg....분리수거도 안되는 영화,1
불한당: 나쁜 놈들의 세상,저는 별로.. 잔인하기만 하고. 몰입이 잘 안 되네요.,4
서울괴담,"뭐야, 이 밑도 끝도 없는 스토리는!!!끝까지 볼것인가, 말것인가???",4
데어 윌 비 블러드,그 누구도 믿지 못하는 삶은 얼마나 척박하고 메말랐는가,7
데드캠핑 더라이브,데드캠프 비스무리한 영화인지 알았는데 이 F급 폐기물은 뭐꼬 너흰 누구냐ㄷㄷ....,1
분노의 질주: 더 얼티메이트,진짜 정도껏 해야지 이게 공상sf영화냐,1
어부바,왜 나에게 이런 시련을 주십니까!!! 영화 중 주인공인 12살 노마가 한 말입니다.... 영화보는 내내 제 마음입니다....,2
베놈 2: 렛 데어 비 카니지,인내는 쓰나 그 쿠키는 달다.,2
레일웨이 맨,"웃기는 영화네 ㅋ저게 용서가 된다고? 사죄를 한다고? 걍 할복했으면 수긍했을듯 전범쓰레기들에게 면죄부나 주는 영화,미화 개쩌는 영화,영국말고 우리나라에 제대로 된 사죄나 하시지 ",1
블랙 크랩,액션씬은 조금 부족하지만 빙판 씬들은 나름 신선하고 볼만했다..,6
카페 벨에포크,자기연민을 포장해 봤자지,2
신비한 동물들과 덤블도어의 비밀,별로입니다 재미없어요,3
봄날,오랜만에 본 쓰레기 영화...,1
앵커,남자친구가 캐스팅 보고 재밌을 줄 알고 예매했어요전 예고편 보고 음... 그래 보고 싶어 하니까 보자 하고 봤어요....재미없어서 의미... 음... 솔직히 어떤 걸 말하려는 건지 보이긴 하는데....아니에요...연기는 잘해요 아 연기만 잘...응...네...,3
니 부모 얼굴이 보고 싶다,학교폭력의 탈을 쓴 학원 스릴러물이라 부르고 싶다. 설경구 연기력 정도만 볼만 했음. ,7
닥터 스트레인지: 대혼돈의 멀티버스,호러물인줄 ㅜㅜㅜㅜ 시간은 금방 가더라고요..,7
엄마,배우 연기는 살아있고 분위기는 괜찮은데.... 쩝 비쥬얼을 반종 피산다나쿤이 담당을 했었다면 어땠을까,3
