movie,sentence,score
닥터 스트레인지: 대혼돈의 멀티버스,개졸잼 평점왜일케 낮음? ㅎㅎ잼난데,10
닥터 스트레인지: 대혼돈의 멀티버스,마블 아예 모른상태서 봤는데 이해 안되는거 있긴한데 크게 스토리 방해는 안됨 그냥 모르는거 신경끄고 영화집중하면 대충 이해는됨완다 전 스토리 뭐가 언급되긴 하는데 연출상 무슨일이 있었구나 싶은건 알게됨판타지라 안지루하고 영상미가 좋아서 꽤 재미있어용 사람마다 다르겠지만 볼만한듯?쿠키영상 있으니 크레딧 끝까지 다보세요ㅜ ,8
"광해, 왕이 된 남자",무슨말이 필요한가이병헌이 씹어먹었다,10
닥터 스트레인지: 대혼돈의 멀티버스,"좀비물? 호러물? 인줄 ^^;;;순간순간 깜짝깜짝 놀라는 씬들이 있어 여태 어벤져스 느낌과는 좀 다르지만 영상미나 볼거리는 만족했던듯요,, 내용은,, 완다비전을 일단 보고 보란 의미를 알겠었던 느낌 같은,,,나름 간절했었겠죠,, 3편 예고~??? ",9
승리호,샘각보다 너무 재미있게 봄ㅎㅎ초반보다 후반부가 더 재미~~시간 잘 갔음^^,9
여고괴담 여섯번째 이야기 : 모교,귀신을뺐다면 좋았을 넘버링시리즈,6
극장판 귀멸의 칼날: 무한열차편,"원작을 뛰어넘는 애니메이션, 완결까지 완성도 유지해주길",10
야차,설경구 연기 굿굿 재미써용,10
앵커,특별하진 않지만 몰입해서 긴장감 느끼며 볼 수 있는 영화,7
파도가 지나간 자리,설정 자체가 너무 납득 안가던데...애기를 가질 생각은 안하고.. 임신 했으면 관리를 잘 하든가...스토리  너무 어설프고 아이와 행복했던 장면들도 연출해 줘야 더 슬픈것인데 그런부분도 미흡하고...평점  너무 높다,4
닥터 스트레인지: 대혼돈의 멀티버스,닥스1이 더 재밌습니다 개인적으로 너무 아쉬웠습니다,5
백사2: 청사의 시련,와우!!!!중국애니가 이렇게 발전했을 줄이야!!!넷플릭스에서 우연히봤는데 정말 재밌게봄,10
블레이드 러너 2049,미래에 살고있지만 미치도록 외롭고 가슴 먹먹한 영화..,10
닥터 스트레인지: 대혼돈의 멀티버스,역시 닥터는 믿고본다~,10
공기살인,메시지는 좋고 그런데 결말이 너무 희망고문이다,7
닥터 스트레인지: 대혼돈의 멀티버스,존잼...꼭보세요 ㅎㅎ 히어로물 좋아하신 분들은 후회안하실듯해요,9
우연과 상상,2시간이 순식간에 지나간다,10
민스미트 작전,"긴박감 넘치는 두뇌 싸움 이야기인 줄 알았는데, 기대와는 좀 달랐던...",7
롤러코스터,하정우씨 감독은 아직 아닌거 같네요..,3
닥터 스트레인지: 대혼돈의 멀티버스,닥스1이 더 재미났었다. 닥스의 매력인 미러디맨션 액션신이 없어서 가장 큰 불만이었음. 근데 멀티버스 이동신 등 몇몇 장면과 연기자들의 연기가 좋아서 볼만했다!!,7
신의 한 수: 귀수편,어떤부분에서는 1편보다 더 퀄리티 있고 재밌었움 몇번 더 보게하는 영화 ,10
아논,"이 영화의 배경. 2022년. 세계는 알 수 없는 테러와 범죄로 뒤덮히고 어지럽게 된다. 그래서 유엔은 비밀리에 프로젝트를 하나 만드는데 모든 사람들에게 칩을 의식하여 모든걸 감시할 수 있는 시스템을 만든다. 첨엔 단순히 칩이었지만 시간이 흐를수록 다른 사람과의 네트워킹이 가능해지고 다른 사람과 전화라는 기계가 없어도 전화가 가능해지는 등 기술의 발달이 있었다. 그리고 익명에 의한 범죄나 테러는 모두 사라졌고 세상은 평화를 되찾게 된다. 그리고 시간은 흘러, 이제는 다른 사람의 서버에 들어가 그 사람의 과거까지 들춰볼 수 있게 된다. 그리고 과거의 기억까지 서로 주고 받게 된다. 테러는 더 이상 벌어지지 않는 세상. 하지만 어느 누구도 프라이버시는 존재하지 않는다. 단지 상대를 보는 것만으로도 상대의 과거까지 알아낼 수 있는 사회다. 그리고 거기서 익명으로 불법적인 기억을 지워주는 직업이 등장하는데 그게 이 영화에 나오는 주인공 아만다의 직업이다. 그녀는 불법적인 일을 하기 때문에 일단 자신의 과거부터 다 지워야했다. 그래서 자신을 익명으로 만들고 서버를 따로 만들어 자신을 숨겨야 했다. 그걸 찾으려면 알고리즘이 필요한데 그건 아무도 모른다. 그렇게 이야기는 시작 된다. 어느누구도 감시에서 벗어 날 수 없다. 익명만이 그것이 가능하다. 그래서 제목이 아논이다. 아만다사이프러스의 알몸을 볼 수 있다.",7
동방삼협,셋다 삼십대 초반의 한창 물오를때네.양자경 미모도 눈부시고..,10
닥터 스트레인지: 대혼돈의 멀티버스,완다 죽습니다 수고하세요 스포당함 ㅋㅋㅋㅋ,8
범죄도시,욕설 난무하는 전형적인 조폭물... 이게 그렇게까지 뜰만한 영화는 아닌데 그냥 마동석빨인가,5
스프링 블라썸,미장셴이 정말 좋았던 영화! 시각적 만족감 좋음,8
데드캠핑 더라이브,평점알바가 진짜있네 헛 웃음 나오는 영화다 ,2
닥터 스트레인지: 대혼돈의 멀티버스,처음부터 끝까지 팬서비스+다음 전개의 확장이여서 재밌게 봤어요.,8
배드 가이즈,진짜 기대 1도 안하고 이런영화가 있어 하면서 들어가서 너무 재밌게 보고옴. 역시는 역시임 드림웍스 짱!ㅋㅋ,9
버닝,유아인 연기력은 정말 ....최고였다,10
늑대들,"평점이 하두 낮아서 일부러 찾아봤는데,전규환 감독의 영화를 여러편 봤기에 감독 특유에 영상과 스토리가 있어 나름 재밋게 봤습니다현재 상영하고 있는 한국판 르와르영화랑 비교할땐, 좀더 현실적이고 군더더기 없는 그런....항상 응원합니다",10
닥터 스트레인지: 대혼돈의 멀티버스,완다비전과 왓이프 관람후 마블 코믹스의 이해도가 합쳐졌다면최고의 영화가 될 듯,10
신비한 동물들과 덤블도어의 비밀,"진짜 해리포터 덕후와 영화로 해리포터를 접한사람들의 평이 반반임.나는 중학교때부터 책은 다보고,저주받은아이까지 보고 1년에 몇번씩 영화로 전시리즈를 재감상함.그런 나는 너무 재밌게 봄.영화로만 해리포터를 본사람은 재미없다고 하는 사람이 많음. 조니뎁이 너무나 그리움..나는 그란델왈드는 조니뎁이 더 잘어울리는거 같음,.,",9
"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",100,1
닥터 스트레인지: 대혼돈의 멀티버스,약간 액션이 좀 촌스러움,7
벡실,재밌네요. 전 시간가는 줄 모르고 봤습니다. 그리고 그 당시 기술력이라고는 믿기지 않는 엄청난 CG와 그래픽...2022년인 지금 보니까... 뭔가 서서히 벡실의 내용대로 진행되고 있는듯한 느낌...정말 무시무시하면서 소름이 돋네요..이건 정말 예견되고 계획된 걸까요... 앞으로 어떻게 진행될지가 정말 궁금하면서 무섭네요.,10
아이즈 온 미 : 더 무비,high rank not anymore,1
신비한 동물들과 덤블도어의 비밀,음...평점 왜이러죵 ㅠㅠ 저는 볼만했는데요...?,10
고장난 론,뻔하긴하지만 그래도 너무 재밌어요 감동이예요ㅠㅠ,10
중경삼림,"어릴때라 개봉할 때는 못봤거요. 01년생 조카가 보자고 해서 갔는데... 와~~~ 감탐이 나오는 영화입니다. 왕가위 감독님 존경합니다. 시대를 앞서가는 연출... 그리고, 배우님들 어쩜 다 예쁘고 잘생기셨는지... 넷플릭스 &amp; 왓챠에 90년대 홍콩영화 많더라구요. 다시 보려고 합니다.",10
태어나길 잘했어,내가 춘희 친구가 되어주고 싶다.. 나오는 인물들이 다 따뜻해서 힐링되는 영화!,10
블랙,언젠가 다시 볼 영화나는 미셸처럼 도전할 수 있을까,10
닥터 스트레인지: 대혼돈의 멀티버스,걍 보셈 재밌음 올만에 극장 나들이인데 짜릿했음. 더 기괴하고 고어하고 유치한 미감이 섞여 제목 고스란히 재현함.,9
배드 가이즈,다음 내용이 예측되는 내용이지만 ost와액션씬은 신났습니다~,7
우연과 상상,세 번째 에피소드가 가장 좋았다. 지하철 타러 올라가는 에스컬레이터에서 세 번째 에피소드 생각하기!,8
빅 트러블,병맛B급 중국영화,6
뷰티 인사이드,이진욱.박서준.서강준.이동욱.유연석.. 으아. 언니들의 야릇한 꿈이네..한효주는 전생에 뭘 했길래.,7
아직 사랑하고 있습니까?,장가현이 이영화찍고 이혼했다고 해서다시 봤는데 애딸린유부녀가 노출신있는 영화찍었다고 뭐라하는데 김인권도 애가셋인 유부남인데 뭐가 문제인지.베드신이 엄청 야한것도 아니고 가슴노출정도인데 이걸로 이혼까지 한다는게말이 안됨.,6
닥터 스트레인지: 대혼돈의 멀티버스,재밌어여 멀티버스의 시작,10
닥터 스트레인지: 대혼돈의 멀티버스,이제 내가 그리던 마블은 끝이구나 싶습니다,2
닥터 스트레인지: 대혼돈의 멀티버스,기대를 안 하고 봐서 그런지 재미있게 잘 봤습니다! 단순 액션이 아니라 메시지도 담고 있어서 좋았어요,9
데스위시 더 게임,진짜 재미없음.. 돈아까움,1
극장판 귀멸의 칼날: 무한열차편,렌고쿠 쿄쥬로 당신 유죄,10
닥터 스트레인지: 대혼돈의 멀티버스,좀비같은 연출은 좀 무서웠지만 역시 마블! 긴 러닝타임 지루하지 않게 잘 봤어요~ 다음 편이 벌써 궁금해요,8
닥터 스트레인지: 대혼돈의 멀티버스,졸라재밌음 영화가아닌 예술. 한번더 보러갈꺼임 1점테러한 작자들은 영화볼줄 모르는 미개인들인가??,10
이터널스,아이고 왜 이렇게밖에 못 만들었을까 싶은..마블 영화 맞나 보는내내 의심을 안 품을수가 없었네요 ,6
어벤져스: 인피니티 워,아이어맨타노스죽이다가죽음,10
카운트다운, 영화에서 나오는 자신이 언제 죽는지★ 사망타이머 ★구글플레이에도 나와 있음 ★사망 타이머★ 또는 ★사망타임(어른용),6
닥터 스트레인지: 대혼돈의 멀티버스,마즐 시리즈 중 닥스에 바라는 액션과 영상미가 있는데 그 그림이 안 나옴. 앞으로도 이런 방향이라면 닥스에게 이별을 고할 것이다...,6
배드 가이즈,재밌어요 ㅠㅠㅠ!! 한국어 더빙이 영어 버전 보다 더 재밌더라구요 더빙 추천,10
칠드런 오브 맨,영화 내용이 이해하기 어렵고 재미도없고 지루하기만 하네요,5
닥터 스트레인지: 대혼돈의 멀티버스,이것은 히어로물인가 호러 좀비물인가ㅋㅋ,4
닥터 스트레인지: 대혼돈의 멀티버스,완다비전을 봤지만 기억이 가물가물해서 관람하는데 이야기 구성을 이해하는데 힘들었음. 어려운영화... 영상미 돋보임. 그 초능력 교수나와서 좀 웃겼음.,10
화장실 어디에요?,조인성 열심히 살았었구나.. 그냥 쉽게 빡! 뜬 줄 알았는데 ㄷㄷ,10
닥터 스트레인지: 대혼돈의 멀티버스,유치할수 있으나 내수준에 맞았으니 잼있었음 ㅎㅎ 근데.. 이거 보기전에.. 완다비전을 봐야함,8
82년생 김지영,"최대한 객관적으로 바라보고자 한다영화에서 나오는 김지영이 겪는 일들 여성들이 겪을 수 있는 일들이고 분명 불합리하다고 생각한다하지만 영화는 지나치게 편파적으로 여성들이 느낄 수 있는 불합리함만 자극적이게 표현했다몇가지 예를 들겠다1.   지영의 옛직장 동료가 지영 집에 방문해서 남편 사진을 보더니 왜 지영은 이리 퍼석퍼석한데 남편만 때깔 좋냐고 한다너무 비현실적이다 남편이 공유다정유미는 최대한 수척해보이게 노메이크업으로 출연시켜놓고 남편이 공유라서 때깔 좋다고 한다저 나이대 애 아빠들 중에 공유처럼 잘 관리되어 있는 사람 있나?현실엔 배때기에 비계덩어리 두르고 있고 맨날 수염 덥수룩하게 나있는 아저씨가 대부분이다남자라고 그 나이대에 벌써 배때기에 비계 두르고 싶지 않다부장님이 퇴근 시간대에 갑자기 삼겹살에 소주 한 잔 하자고 할 때 고과에 비례하는 월급 생각해서 어쩔 수 없이 따라가서 먹다 보니 생긴 비계덩어리다2.   남성이 보내는 직장 생활을 너무 편안한것처럼 표현했다.공유는 주말에 회사 워크샵 가는데 웃으면서 가는게 말이 되나?주말 뺏길 생각에 회사에 불질러버리고 싶을 마음 아닐까?3.   “직장생활 GOOD 가정생활 BAD” 라는 흑백논리모든 여성이 커리어 욕심이 있는 것이 아니다 마찬가지로 모든 남성도 커리어 욕심이 있는 것도 아니다어느 여성에겐 직장 생활 때려치고 가정에 충실하는게 더 행복할 수도 있고 어느 남성에겐 직장생활이 지옥처럼 싫은데 돈을 더 버는 사람이 직장생활을 하는게 맞기 때문에 어쩔 수 없이 직장생활을 해야하는 것일 수도 있다“비교 우위”란 개념이 배제되어 있다이 사회는 남성과 여성 모두에게 불합하다금수저 물고 태어나서 형편이 특별히 더 좋지 않는 한 어차피 남녀 모두 이 사회에서 이리 치이고 저리 치이면서 살아야한다어느 한쪽이 더 불합리하다고 단정지어 말 할 수 없다“마치 불알을 맞는게 더 아픈가 애를 낳는게 더 아픈가”와 비슷한 문제이다, 둘다 경험할 수 없기에 아무도 모른다",4
공기살인,하지마제발 보지마이거,1
허셀프,1인 다역을 하며 꿋꿋한 엄마는 강하다,8
공동경비구역 JSA,전쟁영화이자 반전영화.. 가까이 있지만그 어느나라보다 멀리 있는 나라.. 연기 스토리 연출  끝 없이 몰입을 하게 해주는 영화다.,10
크롤,폐쇄공간에서 펼쳐지는 악어와의 사투!긴장감 최고요!,9
극장판 루팡 3세 VS 명탐정 코난,유미란 표정 개 짱나네 ㅋㅋ 지가 뭔데 저딴 표정 짓고 그럼? ,2
실버라이닝 플레이북,"이 영화는 조금 어려워요. 그래서 좋아요.  누구나 공감할 수 있는 쉽고,예쁘고, 눈물나는 영화가 아니라. 보는데 힘들어요. 너무 감정적이 되서. 그래서 다시 보려구요 ㅋ ㅋ ㅋ 이런 감정선 영화 좋아하시면 빌어먹을 세상따위도 추천해요. 약간 정신병 올 것 같은 영화들인데 너무 좋음",10
해바라기,해바라기라는 단어를들었을때뇌가 꽃보다 오태식을 먼저떠오르게만든 영화 ,10
닥터 스트레인지: 대혼돈의 멀티버스,진짜 재밋게봤어요 약간 무서웠지만스토리가대박 완다가 스트레인지보다여운을 더줬네요,10
장르만 로맨스,연기력.대사 굿관계의 시선에서 자유로워졌음,10
닥터 스트레인지: 대혼돈의 멀티버스,샘레이미가 마블을 만나면 이렇게 되는구나.세련된 조합이 너무 좋았음.,10
구조견 루비,감동이다..동물은 자신을좋아하는지 싫어하는지 아는거같다,8
드라이브 마이 카,1초 1초도 놓치고 싶지 않았던 소중한 영화. 올해 보았던 영화 중 가장 좋았다,9
공기살인,어이없는 재판 결과도 알려줬으면 더 좋았을듯,10
닥터 스트레인지: 대혼돈의 멀티버스,클래식에서 한 발만 더 가면 올드한건데...아슬아슬했다;;;,7
사이비,와 뭐지.... 대작이네요,10
워터 릴리스,살면서 50번 다시 볼 듯,10
엔더스 게임,처음에는 어른들은 방관하고 청소년들에게 인류의 미래를 걸고 전투시키는 것에대해 무슨 파워레인저 우주전쟁버전인줄 알았으나 목표만 바라보는 어른의 뇌로는 이해할수없는 다양한 외계인과의 굳지 않은 뇌와의 의사소통의 가능성을 볼 수있었던 영화,8
신비한 동물들과 덤블도어의 비밀,신비한 동물들이 더많이 나왔어야함재미는 그럭저럭,6
중경삼림,당장이라도 홍콩으로 날아가고 싶은 영화,10
문폴,요즘은 중국이 손 안대는 영화가 없네.과하게 말이 안됨. ㅎ,6
드라이브,인생영화입니다. 십년이 지나도 계속 생각나는 스타일리시하고 고독한 영화.,10
우연과 상상,하마구치 류스케... 영화 진짜 너무 좋다,9
닥터 스트레인지: 대혼돈의 멀티버스,재밌었어요~ 역시 마블,10
붉은 바캉스 검은 웨딩 2,음 뭘 말하려는지 모르겠고 쓸데없는 잘못된 변태 집착남의 범죄? 개연성도 이상하고 초반 스토리 시작도 좀 엉성하고 엄마가 결혼할거라던 남자를 갑자기 집으로? 한번도 같이 안봤는데 쫌 ㅋㅋ무료로 올라온거 집에서 보다가 하도 노잼이라 평점1 주려고 원정옴 연기도 좀 ㅎ 어쩌다 조연들이랑 거의 이름도 모르는사람들 나오고,1
미미와 철수의 청춘 스케치,영화에 별 내용은 없었지만 강수연의 아름답고 풋풋한 모습과 80년대 길거리 모습이 추억을 불러 일으킨다. 강수연 배우의 명복을 빕니다.,7
잭 인 더 박스,추리 x나게했는데 응 이런거있음 ~ 하고 바로 끝,10
닥터 스트레인지: 대혼돈의 멀티버스,"결국 내 자신을 파멸하고 구원하는 것은 나 스스로라는 다중 우주 속, 절대불변의 진리",8
이터널스,어벤져스 얘기할때가 가장 집중되네요..,4
배드 가이즈,"영상미는 좋았는데 내용이 중간에 너무 지루했어요 잠깐 졸뻔했고, 6세 아이도 언제끝나냐고 물어봤어요  신나는 음악이 나와서 그때 잠깨고 봤는데 25000원 주고 볼 영화는 아닌듯...",3
니 부모 얼굴이 보고 싶다,배우들의 연기가 훌륭했고 현실 반영한 내용으로 인해 화가 나기도 하고 안타깝기도 했다. 자기 자식이 소중하다면 남의 자식도 소중하다는 것을 좀 알았으면 좋을 것 같다는 생각을 가지게 만들어주었다. 그리고 부모로써 어떤 것이 아이를 위한 것인지 다시 한 번 생각하게 만들어 주는 영화였다.,8
배드 가이즈,"예상 가능한 스토리, 예상 가능한 클리셰입니다. 어린이를 동반한 관객들에게 추천드립니다. 코믹스스러운 연출은 훌륭했습니다. 개인적으로 드림웍스를 응원하지만..",6
닥터 스트레인지: 대혼돈의 멀티버스,스토리도 연출도 별로인데 배우들 연기가 다 했다. 마블이 기존 마블 특유의 감을 잃은 듯 하다.. 로키랑 완다비전까지 챙겨봤는데..스파이더맨도 참고 봤는데.. 이젠 손절,2
배드 가이즈,가볍고 재밌게 봤다,8
신비한 동물들과 덤블도어의 비밀,뭐랄까? 이젠 타성에 젖어서 보는 느낌이네...,6
허셀프,집을 짓기위한 이유가 너무 절박해서 공감가고 마음이 아팠지만 아무래도 영화니까 현실적이면서도 비현실적이네요 마지막이 허무하기도 하구요...,7
딥 임팩트,산만했던&amp;lt;아마겟돈&amp;gt;에 비해 진지하고 섬세한 지구 종말 스케치.,9
닥터 스트레인지: 대혼돈의 멀티버스,오디션+이블데드4,6
바람이 분다,보지도 않고 무지성 비난하는데 주인공 일행이 일본이 근대 국가라고?비웃는 대사나 세계를 적으로 돌려 일본은 파멸한다는게 제국주의 미화임?ㅋㅋㅋㅋ진짜 반일정신병 국가 이와 논외로 재미는 없음,7
닥터 스트레인지: 대혼돈의 멀티버스,평점보고 기대않고 갔다가..ㅎㅎ전혀 지루하지 않고..특히 샘감독 연출조음 ,10
닥터 스트레인지: 대혼돈의 멀티버스,이거 히어로영화가 아니라 공포영화냐? ,8
신비한 동물들과 덤블도어의 비밀,검증된 게이 연기 마스터 매즈미켈슨과 귀여운 뉴트의 콜라보,8
이웃의 아내,"관객을 불편하게 하는 연출, 연기가 일품.  감독의 내 갈 길 가겠다는 것에 응원 해봅니다.",10
닥터 스트레인지: 대혼돈의 멀티버스,"역시 믿고보니 월트디즈니! 평점이생각보다낮아 큰기대안하고봤는데 뛰어난 CG와 스케일에 앞도당하고왔네욤~12세관람이라 아이들과봤는데 좀잔인한부분도있었어요참,영화가끝나도 꼭자리지키세요 쿠키영상 2개있으니깐욤:) ",10
신비한 동물들과 덤블도어의 비밀,연기는 좋았고 나름 웃겼는데 스토리는 솔직히 빈약했던 것 같음..,8
닥터 스트레인지: 대혼돈의 멀티버스,남주여주둘다팬이여서..넘재미있게봤습니당..,10
연애 빠진 로맨스,너무재밌게봤어요오주인공들너무매력적,10
닥터 스트레인지: 대혼돈의 멀티버스,역시 기대없이 보니 진짜 재미있었네요^^,10
닥터 스트레인지: 대혼돈의 멀티버스,감상적측면에선재밌음. 근데 스토리가 너무 단순해서 평이 좀 낮은듯. ,8
닥터 스트레인지: 대혼돈의 멀티버스,스토리에 개연성이 없는 느낌.. 영상미는 있었네요,7
닥터 스트레인지: 대혼돈의 멀티버스,완다가 너무 멋지고 안타까웠습니다,9
씨받이,굳이 길게 주고받는 대화로 부연설명을 해주려 들지 않는다. 최소한의 대사처리로 특유의 분위기와 상황을 짐작하게 한다. 젊은시절 강수연 배우의 모습을 볼 수 있음에 감사한다 . ,10
닥터 스트레인지: 대혼돈의 멀티버스,왜 7점대인지 이해안됨강력추천,10
공기살인,이건 전국민이봐야하고 대통령이었던 이명박과 그당시 정부여당 현국민의힘당도 봐야한다.꼭봐라 정신나간인간들  민주정권에선 있을수없는일이며 민주주의국가에선 생겨선안되는일이다.  ,10
엑스맨: 아포칼립스,빌런이 세기만 하고 별 매력이 없음,1
닥터 스트레인지: 대혼돈의 멀티버스,마블을 모두 보고 캐릭터를 다 알고완다비전까지 보면 핵꿀잼그런게 아니고 그냥 본다면 이게 뭐지?전 다보고 봐서 진짜 역대급으로 재미있었습니다.지루 할 틈이 없었네요,10
애덤 프로젝트,신파고 뭐고 전 그냥 보는 내내 행복했습니다,10
모짜르트의 한 방,아이들에게 꿈이 있으면 좋겠어요. 꿈을 향해 달려갈 때 조금은 힘들지만 기쁘게 감사함으로 뭐든 즐기며 달려가는 아이들이 되길 바래봅니다. 재밋게 봤어요. ,10
말임씨를 부탁해,현실적인 한계로 채우지 못하는 자리를 대안가족으로 대체하여 지금의 상황을 곰곰이 생각하게 한다.,6
우연과 상상,굿,8
특송,형식적인 기성품,5
닥터 스트레인지: 대혼돈의 멀티버스,완다...,8
닥터 스트레인지: 대혼돈의 멀티버스,닥스만 연기하면 잘생겨지는..배네딕트 컴버배치,9
리틀 포레스트,10번 넘게 본 영화~볼때마다 힐링이되는 마음의 평안을 가져다주는 영화~,10
닥터 스트레인지: 대혼돈의 멀티버스,베니와 리지가 연기력으로 멱살잡고 해냄,10
영희,Ost가 좋았어요 독립영화라 부족한 점이 많지만 나름 잼났습니다,10
닥터 스트레인지: 대혼돈의 멀티버스,시간간줄 모르고 즐겼어요감독님 최고,10
니 부모 얼굴이 보고 싶다,"솔직히 스토리는 짜증나요 ㅋㅋㅋ 질질끌고 뻔하고,,,근데 연기가 다 커버하네요",8
닥터 스트레인지: 대혼돈의 멀티버스,완다 그곳에선 행복해..,10
엘도라도,예전에 이정도면 성인애니메이션 아닌가시프요,8
닥터 스트레인지: 대혼돈의 멀티버스,"B급 SF호러물.차베즈 액션연기 너무 구리고, 연기자들 CG는 너무 티가 나고 정말 실망적임. 그외에 다른 CG들은 그나마 볼만함.설명적인 부붇들 지루해서 졸림..",4
닥터 스트레인지: 대혼돈의 멀티버스,귀신 완다와 좀비 닥터의 B급 호러무비 ,8
닥터 스트레인지: 대혼돈의 멀티버스,무척 재미있었음...공포연출도 상당히 인상깊었고...주위사람들이 개연성도 부족하고...완다를 제외한 모든영웅들이 원작보다 상당히..약..한 모습으로 등장했지만...걍 그 616 838 숫자붙이는 수많은 유니버스들 중에서 그 일루미나티가 등장했던 유니버스가..젤 약한 놈들이라고 생각할게,10
닥터 스트레인지: 대혼돈의 멀티버스,"오랜만에 극장에서 보는 영화, 재미있게 봤어요",10
스펜서,"우울증 걸리겠다. 보는내내 우울했고, 배경음악에 음산했다.",4
어바웃 타임,특이한 스토리와 감동이 있는 영화입니다,10
후궁 : 제왕의 첩,관능적이고도 순수한.                                     영화내내 김동욱 눈빛이 너무 좋았다 ,10
신비한 동물들과 덤블도어의 비밀,재밌습니다.굿굿굿굿입니다,10
3.5교시,소재가 좋았고 OST랑 영상미가 좋았다.그리고 조아가 좋았다. ^^,10
닥터 스트레인지: 대혼돈의 멀티버스,영화 집중도가 엄청 낮아 졸다가 나옴. 내 돈 아까비~,2
클레멘타인,high rank not anymore,1
"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",high rank not anymore,1
세븐틴 파워 오브 러브 : 더 무비,새끼캐럿한테 평캐를 다짐하게 하는 그런 영화...,10
닥터 스트레인지: 대혼돈의 멀티버스,최애 닥터스트레인지와 완다를 한순간 나락으로 꽂아버리는 영화. 지금까지 그나마 잘 쌓아온 마블 세계관 밸런스붕괴는 물론이요 스토리 자체도 어색한 부분이 많고 클리셰에서 헤어나올수가 없는 영화임. 마블팬이고 스트레인지영화라 기대하고 갔는데 거짓말안하고 영화보면서 10번 넘게 나가고싶었음;; 스토리 수준 무엇? 12세 관람가라고 했는데 딱 초등학생 위한 영화같음. 내 닥터스트레인지랑 완다 돌려내 ㅡㅡ ,1
우는 남자,동건아 연기하면서 딴생각 좀 하지마 제발,1
기억의 밤,연기도 좋고 스토리고 훌륭하네요,10
민스미트 작전,"2차세계대전, 실화라는 보증수표와 애매한 감정선",8
닥터 스트레인지: 대혼돈의 멀티버스,대혼돈의 세상에 맞아떨어지는~,10
어부바,배우들 연기가 아주 좋아요,10
갓파 쿠와 여름방학을,"쿠 만나서 즐거웠어 많이 슬프지만 그래도 믿음직한 기지무나가 잘 보살펴 줄 거라고 생각돼서 다행이야 건강하게 잘 지내 언젠가 꼭 다시 만날 수 있기를, 잊지 못할 거야 고마워 쿠",10
스파이더맨: 노 웨이 홈,가혹해도 이겨내는게 영웅,10
로스트 시티,"광명롯시] 생각보다는 재밌었지만, 할리우드 창고에서 묵혀있던 오래된 영화필름을 세상에 내놓은 느낌이 나는 것도 사실이다. 브래드 피트 배역은 적절해서 식상함을 많이 줄여주었다. 산드라 블록은 스크린에서 보니 반갑고도 씁쓸했다. 오래된 영화 &amp;#39;스피드&amp;#39;가 자꾸 생각난다. 2부 같은 거 나오면 슬플 거 같다",7
마약왕,범죄와의 전쟁+스카페이스=뿅간 부산아저씨.ㅉ,4
더 컨트랙터,줄거리가 다소 싱겁고 10분에 예측 가능한 이야기,5
어부바,한국영화는 망했다. 지난 몇년동안 정치 똥쓰레기만 주구장창 만들더니 정작 예술성과 상업성이 필요한 작품을 만들어야 할때는 제대로 만드는것이 하나도 없다.,1
날씨의 아이,너무 재미있고 감동이다,10
